Date : 2025-06-09 15:55:49
Directory : /home/kapusta/Документы/programming_tasks
Total : 76 files,  2501 codes, 130 comments, 204 blanks, all 2835 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1389C.cpp    | C++      |         40 |          7 |          3 |         50 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1398D.cpp    | C++      |         25 |          0 |          2 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1509C.cpp    | C++      |         54 |          0 |          2 |         56 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1528A.cpp    | C++      |         -2 |          1 |         -1 |         -2 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/161D.cpp     | C++      |        -12 |          0 |          1 |        -11 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1633D.cpp    | C++      |         48 |          8 |          3 |         59 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1695C.cpp    | C++      |         53 |          0 |          3 |         56 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/295B.cpp     | C++      |         82 |          5 |          6 |         93 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/467C.cpp     | C++      |         22 |          5 |          2 |         29 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/546D.cpp     | C++      |         44 |          0 |          3 |         47 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/577B.cpp     | C++      |         49 |          3 |          3 |         55 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/607B.cpp     | C++      |         31 |          0 |          2 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/mesh/1/a.cpp | C++      |         27 |          0 |          2 |         29 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/mesh/1/b.cpp | C++      |         30 |          3 |          3 |         36 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/mesh/1/c.cpp | C++      |         42 |          0 |          3 |         45 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/mesh/2/a.cpp | C++      |         47 |          7 |          4 |         58 |
| /home/kapusta/Документы/programming_tasks/a.py                                | Python   |         -9 |          0 |         -3 |        -12 |
| /home/kapusta/Документы/programming_tasks/inform/101/a.cpp                    | C++      |         10 |          0 |          2 |         12 |
| /home/kapusta/Документы/programming_tasks/inform/101/b.cpp                    | C++      |         18 |          0 |          2 |         20 |
| /home/kapusta/Документы/programming_tasks/inform/101/c.cpp                    | C++      |         17 |          0 |          2 |         19 |
| /home/kapusta/Документы/programming_tasks/inform/101/d.cpp                    | C++      |         15 |          0 |          2 |         17 |
| /home/kapusta/Документы/programming_tasks/inform/101/e.cpp                    | C++      |         10 |          0 |          2 |         12 |
| /home/kapusta/Документы/programming_tasks/inform/101/e.py                     | Python   |          2 |          0 |          0 |          2 |
| /home/kapusta/Документы/programming_tasks/inform/25ap/a.cpp                   | C++      |         19 |          0 |          2 |         21 |
| /home/kapusta/Документы/programming_tasks/inform/25ap/b.cpp                   | C++      |         11 |          0 |          2 |         13 |
| /home/kapusta/Документы/programming_tasks/inform/25ap/c.cpp                   | C++      |         14 |          0 |          2 |         16 |
| /home/kapusta/Документы/programming_tasks/inform/25ap/d.cpp                   | C++      |         34 |          0 |          2 |         36 |
| /home/kapusta/Документы/programming_tasks/inform/25ap/e.cpp                   | C++      |         19 |          0 |          2 |         21 |
| /home/kapusta/Документы/programming_tasks/inform/dd/a.cpp                     | C++      |         27 |          0 |          2 |         29 |
| /home/kapusta/Документы/programming_tasks/inform/dd/b.cpp                     | C++      |         30 |          0 |          2 |         32 |
| /home/kapusta/Документы/programming_tasks/inform/dd/c.cpp                     | C++      |         33 |          0 |          2 |         35 |
| /home/kapusta/Документы/programming_tasks/inform/dd/d.cpp                     | C++      |         45 |          0 |          2 |         47 |
| /home/kapusta/Документы/programming_tasks/inform/dd/e.cpp                     | C++      |         20 |          0 |          2 |         22 |
| /home/kapusta/Документы/programming_tasks/inform/dd/f.cpp                     | C++      |         45 |          0 |          2 |         47 |
| /home/kapusta/Документы/programming_tasks/inform/dd2/a.cpp                    | C++      |          7 |          0 |          3 |         10 |
| /home/kapusta/Документы/programming_tasks/inform/start4/a.cpp                 | C++      |         25 |          0 |          2 |         27 |
| /home/kapusta/Документы/programming_tasks/inform/start4/b.cpp                 | C++      |         19 |          0 |          2 |         21 |
| /home/kapusta/Документы/programming_tasks/inform/start4/c.cpp                 | C++      |         31 |          6 |          3 |         40 |
| /home/kapusta/Документы/programming_tasks/inform/start4/d.cpp                 | C++      |         42 |          0 |          2 |         44 |
| /home/kapusta/Документы/programming_tasks/tinkoff/muniki/9/a.cpp              | C++      |         14 |          0 |          2 |         16 |
| /home/kapusta/Документы/programming_tasks/tinkoff/muniki/9/b.cpp              | C++      |         55 |          3 |          4 |         62 |
| /home/kapusta/Документы/programming_tasks/tinkoff/muniki/9/c.cpp              | C++      |         33 |          1 |          2 |         36 |
| /home/kapusta/Документы/programming_tasks/tinkoff/muniki/9/d.cpp              | C++      |         23 |          0 |          2 |         25 |
| /home/kapusta/Документы/programming_tasks/tinkoff/muniki/9/e.cpp              | C++      |         50 |         18 |          3 |         71 |
| Total                                                                         |          |      2,501 |        130 |        204 |      2,835 |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
