"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1968D.cpp", "C++", 54, 7, 4, 65
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1973B.cpp", "C++", 60, 6, 3, 69
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1494A.cpp", "C++", 72, 1, 4, 77
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1559A.cpp", "C++", 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1566C.cpp", "C++", 40, 8, 3, 51
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1567B.cpp", "C++", 31, 2, 4, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1625A.cpp", "C++", 33, 3, 3, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1632B.cpp", "C++", 37, 1, 4, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1699B.cpp", "C++", 36, 0, 3, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1726B.cpp", "C++", 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1763A.cpp", "C++", 25, 0, 3, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1807G2.cpp", "C++", 33, 0, 3, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1842B.cpp", "C++", 55, 1, 4, 60
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1847B.cpp", "C++", 35, 2, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1867B.cpp", "C++", 38, 2, 3, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1957B.cpp", "C++", 28, 2, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1977B.cpp", "C++", 55, 3, 5, 63
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1979B.cpp", "C++", 19, 0, 3, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1994B.cpp", "C++", 42, 1, 3, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/202A.cpp", "C++", 33, 2, 1, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/579A.cpp", "C++", 16, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/inform/5cpp/c.cpp", "C++", 16, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/inform/5cpp/f.cpp", "C++", 29, 3, 2, 34
"/home/kapusta/Документы/programming_tasks/inform/5cpp/g.cpp", "C++", 21, 0, 2, 23
"/home/kapusta/Документы/programming_tasks/inform/5cpp/h.cpp", "C++", 27, 0, 4, 31
"/home/kapusta/Документы/programming_tasks/vsosh/a.cpp", "C++", 11, 0, 2, 13
"/home/kapusta/Документы/programming_tasks/vsosh/b.cpp", "C++", 19, 0, 2, 21
"/home/kapusta/Документы/programming_tasks/vsosh/c.cpp", "C++", 28, 0, 2, 30
"/home/kapusta/Документы/programming_tasks/vsosh/d.cpp", "C++", 31, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/vsosh/e.cpp", "C++", 50, 11, 4, 65
"/home/kapusta/Документы/programming_tasks/vsosh/main.cpp", "C++", 8, 0, 3, 11
"Total", "-", 1039, 55, 92, 1186
