"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1995B2.cpp", "C++", 1, 0, 1, 2
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997D.cpp", "C++", 43, 0, 4, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094A.cpp", "C++", 15, 0, 3, 18
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094B.cpp", "C++", 15, 0, 3, 18
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094C.cpp", "C++", 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094D.cpp", "C++", 45, 6, 3, 54
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094E.cpp", "C++", 39, 0, 3, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094F.cpp", "C++", 41, 0, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2094G.cpp", "C++", 38, 0, 6, 44
"/home/kapusta/Документы/programming_tasks/yandex/prereg1/a.cpp", "C++", 54, 0, 4, 58
"/home/kapusta/Документы/programming_tasks/yandex/prereg1/b.cpp", "C++", 82, 7, 4, 93
"/home/kapusta/Документы/programming_tasks/yandex/prereg1/c.cpp", "C++", 31, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/yandex/prereg1/main.cpp", "C++", 9, 0, 3, 12
"Total", "-", 448, 13, 43, 504
