"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/h.cpp", "C++", 48, 3, 2, 53
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/i.cpp", "C++", 61, 0, 2, 63
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/j.cpp", "C++", 51, 0, 2, 53
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/k.cpp", "C++", 49, 0, 2, 51
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/l.cpp", "C++", 0, 0, 1, 1
"Total", "-", 209, 3, 9, 221
