"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2027D1.cpp", "C++", 20, 0, 4, 24
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033C.cpp", "C++", 49, 1, -1, 49
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033D.cpp", "C++", 30, 0, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033E.cpp", "C++", 34, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033F.cpp", "C++", 27, 0, 3, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033G.cpp", "C++", 10, 0, 4, 14
"Total", "-", 170, 1, 16, 187
