"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/a.cpp", "C++", 10, 0, 2, 12
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/b.cpp", "C++", 31, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/c.cpp", "C++", 115, 11, 6, 132
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033C.cpp", "C++", -61, -1, 0, -62
"/home/kapusta/Документы/programming_tasks/uts/0001/d.cpp", "C++", 25, 0, 3, 28
"/home/kapusta/Документы/programming_tasks/uts/0010/a.cpp", "C++", 71, 0, 6, 77
"/home/kapusta/Документы/programming_tasks/uts/0010/b.cpp", "C++", 11, 0, 3, 14
"/home/kapusta/Документы/programming_tasks/uts/0010/d.cpp", "C++", 49, 0, 4, 53
"/home/kapusta/Документы/programming_tasks/uts/0010/e.cpp", "C++", 14, 0, 2, 16
"/home/kapusta/Документы/programming_tasks/uts/0010/f.cpp", "C++", 69, 12, 2, 83
"/home/kapusta/Документы/programming_tasks/uts/0010/g.cpp", "C++", 68, 0, 2, 70
"/home/kapusta/Документы/programming_tasks/uts/0010/j.cpp", "C++", 12, 0, 3, 15
"/home/kapusta/Документы/programming_tasks/uts/hld_centroid/a.cpp", "C++", 7, 0, 2, 9
"Total", "-", 421, 22, 37, 480
