"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0000/a.cpp", "C++", 10, 0, 0, 2, 12
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0000/b.cpp", "C++", 31, 0, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0000/c.cpp", "C++", 115, 0, 11, 6, 132
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/a.cpp", "C++", 11, 0, 0, 1, 12
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/b.cpp", "C++", -12, 0, 0, 1, -11
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/c.cpp", "C++", -100, 0, -11, -3, -114
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/ICPC_TC/0001/c.py", "Python", 0, 4, 0, 1, 5
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2074F.cpp", "C++", 0, 0, 0, -2, -2
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2075A.cpp", "C++", 19, 0, 0, 3, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2075B.cpp", "C++", 99, 0, 7, 4, 110
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2075C.cpp", "C++", 41, 0, 5, 4, 50
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2075D.cpp", "C++", 65, 0, 14, 4, 83
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2082A.cpp", "C++", 37, 0, 0, 4, 41
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2082B.cpp", "C++", 48, 0, 0, 5, 53
"/home/kapusta/Документы/programming_tasks/uts/0011/a.cpp", "C++", 46, 0, 7, 2, 55
"/home/kapusta/Документы/programming_tasks/uts/0100/a.cpp", "C++", 21, 0, 0, 3, 24
"/home/kapusta/Документы/programming_tasks/uts/0100/b.cpp", "C++", 100, 0, 11, 5, 116
"/home/kapusta/Документы/programming_tasks/uts/0100/b2.cpp", "C++", 68, 0, 7, 3, 78
"Total", "-", 599, 4, 51, 45, 699
