"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/bsr.cpp", "C++", 27, 0, 0, 2, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/fib.cpp", "C++", 21, 0, 0, 2, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/mmm.cpp", "C++", 23, 0, 0, 6, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/num1.cpp", "C++", 50, 0, 5, 7, 62
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/operand_peregruz.cpp", "C++", 23, 0, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/podstroka.cpp", "C++", 13, 0, 0, 1, 14
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/py.py", "Python", 0, 9, 0, 2, 11
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg1.cpp", "C++", 11, 0, 1, 1, 13
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg2.cpp", "C++", 17, 0, 0, 1, 18
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg3.cpp", "C++", 40, 0, 4, 3, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg4.cpp", "C++", 16, 0, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg5.cpp", "C++", 21, 0, 0, 5, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/reg6.cpp", "C++", 22, 0, 0, 1, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/ruksak.cpp", "C++", 19, 0, 0, 2, 21
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/strochki.cpp", "C++", 7, 0, 0, 2, 9
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/triangles.cpp", "C++", 60, 0, 16, 8, 84
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/triangles2.py", "Python", 0, 2, 0, 1, 3
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/trie.cpp", "C++", 82, 0, 19, 16, 117
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/vec1.cpp", "C++", 43, 0, 0, 9, 52
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/vec2.cpp", "C++", 15, 0, 0, 1, 16
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/926/смена/задачи/zero_one.cpp", "C++", 32, 0, 0, 6, 38
