"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/930/a.cpp", "C++", 0, 89, 35, 6, 130
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/931/a.cpp", "C++", 0, 68, 3, 3, 74
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/932/a.cpp", "C++", 0, 36, 0, 6, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/932/b.cpp", "C++", 0, 46, 15, 3, 64
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/932/c.cpp", "C++", 0, 23, 0, 5, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/933/a.cpp", "C++", 0, 165, 3, 10, 178
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/a.cpp", "C++", 0, 29, 0, 1, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/b.cpp", "C++", 0, 20, 0, 1, 21
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/c.cpp", "C++", 0, 43, 0, 1, 44
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/c2.cpp", "C++", 0, 36, 2, 1, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/d.cpp", "C++", 0, 159, 1, 6, 166
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/d2.cpp", "C++", 0, 33, 5, 1, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/960/e1.cpp", "C++", 0, 13, 0, 2, 15
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/972/a.cpp", "C++", 0, 28, 2, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/972/b.cpp", "C++", 0, 50, 15, 4, 69
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a.cpp", "C++", 0, 23, 5, 1, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a2.cpp", "C++", 0, 44, 3, 1, 48
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a3.cpp", "C++", 0, 39, 0, 2, 41
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/b.cpp", "C++", 0, 64, 2, 2, 68
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/b2.cpp", "C++", 0, 64, 1, 2, 67
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/a.cpp", "C++", 0, 30, 0, 1, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/b.cpp", "C++", 0, 17, 0, 5, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/c.cpp", "C++", 0, 41, 13, 4, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/c2.cpp", "C++", 0, 36, 13, 4, 53
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/d.cpp", "C++", 0, 57, 5, 6, 68
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/a.cpp", "C++", 0, 36, 1, 1, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b.cpp", "C++", 0, 28, 1, 1, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b2.cpp", "C++", 0, 29, 0, 1, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b3.cpp", "C++", 0, 37, 0, 2, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/c.cpp", "C++", 0, 51, 5, 1, 57
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/162/a.cpp", "C++", 0, 349, 26, 48, 423
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/917/a.cpp", "C++", 0, 27, 0, 1, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/917/b.cpp", "C++", 0, 27, 2, 2, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/a.cpp", "C++", 0, 32, 0, 2, 34
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b.cpp", "C++", 0, 82, 2, 4, 88
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b2.cpp", "C++", 0, 23, 0, 2, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b3.cpp", "C++", 0, 40, 0, 3, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b4.cpp", "C++", 0, 28, 4, 2, 34
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/a.cpp", "C++", 0, 17, 0, 1, 18
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/b.cpp", "C++", 0, 24, 0, 1, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/c.cpp", "C++", 0, 44, 1, 1, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/c2.cpp", "C++", 0, 16, 0, 1, 17
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/e.cpp", "C++", 0, 42, 2, 3, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/beta1/a.cpp", "C++", 0, 11, 0, 2, 13
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/beta1/b.cpp", "C++", 0, 55, 2, 5, 62
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1421A.cpp", "C++", 0, 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1527A.cpp", "C++", 0, 23, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1566B.cpp", "C++", 0, 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1635A.cpp", "C++", 0, 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1688A.cpp", "C++", 0, 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1698A.cpp", "C++", 0, 19, 0, 3, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1805A.cpp", "C++", 0, 28, 0, 3, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1829C.cpp", "C++", 0, 34, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1843C.cpp", "C++", 0, 31, 0, 3, 34
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1907A.cpp", "C++", 0, 30, 0, 1, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1909A.cpp", "C++", 0, 41, 0, 2, 43
