"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/tren/1A.cpp", "C++", 18, 33, 1, 52
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/a.cpp", "C++", 43, 0, 2, 45
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/b.cpp", "C++", 59, 0, 2, 61
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/c.cpp", "C++", 40, 0, 3, 43
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/d.cpp", "C++", 47, 0, 2, 49
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/e.cpp", "C++", 43, 0, 2, 45
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/f.cpp", "C++", 70, 11, 2, 83
"/home/kapusta/Документы/programming_tasks/tinkoff/graph1/h.cpp", "C++", 0, 0, 1, 1
"Total", "-", 320, 44, 15, 379
