"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033A.cpp", "C++", 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033B.cpp", "C++", 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033C.cpp", "C++", 73, 1, 4, 78
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1182A.cpp", "C++", 15, 0, 2, 17
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1475B.cpp", "C++", 28, 0, 4, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1519B.cpp", "C++", 20, 1, 3, 24
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1941B.cpp", "C++", 34, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/580A.cpp", "C++", 26, 0, 2, 28
"/home/kapusta/Документы/programming_tasks/inform/6/a.cpp", "C++", 10, 0, 1, 11
"Total", "-", 261, 2, 25, 288
