"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/Verchenko/test/a.cpp", "C++", 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/Verchenko/test/b.cpp", "C++", 19, 0, 1, 20
"/home/kapusta/Документы/programming_tasks/Verchenko/test/c.cpp", "C++", 18, 0, 2, 20
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/d2.cpp", "C++", 32, 8, 2, 42
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/g.cpp", "C++", 46, 0, 1, 47
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/j.cpp", "C++", 35, 5, 1, 41
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/j2.cpp", "C++", 51, 10, 4, 65
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/j3.cpp", "C++", 80, 3, 3, 86
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/l.cpp", "C++", 25, 2, 1, 28
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/l2.cpp", "C++", 30, 2, 1, 33
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/l3.cpp", "C++", 32, 0, 1, 33
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/r.cpp", "C++", 32, 3, 1, 36
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/r2.cpp", "C++", 41, 0, 1, 42
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/a.cpp", "C++", 21, 0, 1, 22
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/b.cpp", "C++", 17, 0, 1, 18
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/c.cpp", "C++", 22, 0, 2, 24
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/d.cpp", "C++", 57, 16, 3, 76
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/e.cpp", "C++", 22, 1, 2, 25
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/f.cpp", "C++", 34, 0, 1, 35
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/g.cpp", "C++", 83, 10, 7, 100
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/h.cpp", "C++", 29, 4, 1, 34
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/i.cpp", "C++", 32, 0, 2, 34
"/home/kapusta/Документы/programming_tasks/tinkoff/exam/i2.cpp", "C++", 39, 12, 5, 56
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/j2.cpp", "C++", 16, 0, 1, 17
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/j3.cpp", "C++", 32, 0, 2, 34
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/k.cpp", "C++", 35, 0, 2, 37
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/k2.cpp", "C++", 36, 0, 2, 38
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/n.cpp", "C++", 31, 0, 2, 33
"Total", "-", 967, 76, 56, 1099
