"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/118C.cpp", "C++", 9, 0, 2, 11
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/161D.cpp", "C++", 60, 1, 3, 64
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/a.cpp", "C++", 36, 0, 3, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/b.cpp", "C++", 21, 0, 1, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/c.cpp", "C++", 61, 0, 4, 65
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/d.cpp", "C++", 43, 0, 2, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/e.cpp", "C++", 31, 5, 4, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/f.cpp", "C++", 32, 0, 1, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr19d2/g.cpp", "C++", 86, 0, 4, 90
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr22d1/a.cpp", "C++", 30, 3, 3, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr22d1/b.cpp", "C++", 39, 0, 5, 44
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr22d1/d.cpp", "C++", 35, 0, 2, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr22d1/e.cpp", "C++", 26, 0, 4, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/tours/tr22d1/f.cpp", "C++", 19, 0, 4, 23
"/home/kapusta/Документы/programming_tasks/uts/0110/a3.cpp", "C++", 45, 0, 4, 49
"/home/kapusta/Документы/programming_tasks/uts/0110/b.cpp", "C++", 29, 0, 5, 34
"/home/kapusta/Документы/programming_tasks/vshe/a.cpp", "C++", 24, 0, 2, 26
"/home/kapusta/Документы/programming_tasks/vshe/b.cpp", "C++", 16, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/vshe/c.cpp", "C++", 60, 0, 6, 66
"Total", "-", 702, 9, 61, 772
