"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/jad/276D.cpp", "C++", 37, 7, 3, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/jad/349B.cpp", "C++", 43, 0, 3, 46
"/home/kapusta/Документы/programming_tasks/uts/0101/a.cpp", "C++", 76, 14, 3, 93
"/home/kapusta/Документы/programming_tasks/uts/0101/a_stress.cpp", "C++", 129, 27, 7, 163
"/home/kapusta/Документы/programming_tasks/uts/0101/b.cpp", "C++", 39, 5, 2, 46
"/home/kapusta/Документы/programming_tasks/uts/0110/a.cpp", "C++", 81, 0, 5, 86
"/home/kapusta/Документы/programming_tasks/uts/0110/a2.cpp", "C++", 87, 1, 4, 92
"/home/kapusta/Документы/programming_tasks/uts/0110/a_stress.cpp", "C++", 154, 1, 7, 162
"Total", "-", 646, 55, 34, 735
