"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/917/a.cpp", "C++", -27, 0, 0, -1, -28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/917/b.cpp", "C++", -27, 0, -2, -2, -31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/917/a.cpp", "C++", 27, 0, 0, 1, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/917/b.cpp", "C++", 27, 0, 2, 2, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1566B.cpp", "C++", 35, 0, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1635A.cpp", "C++", 22, 0, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1688A.cpp", "C++", 26, 0, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1698A.cpp", "C++", 19, 0, 0, 3, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1805A.cpp", "C++", 28, 0, 0, 3, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1829C.cpp", "C++", 34, 0, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1974C.cpp", "C++", 73, 0, 2, 4, 79
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1974D.cpp", "C++", 101, 0, 0, 4, 105
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1975C.cpp", "C++", 40, 0, 1, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1978C.cpp", "C++", 53, 0, 3, 3, 59
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1979C.cpp", "C++", 32, 0, 0, 3, 35
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1980C.cpp", "C++", 46, 0, 4, 3, 53
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1980D.cpp", "C++", 81, 0, 13, 4, 98
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1981B.cpp", "C++", 38, 0, 4, 3, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1982B.cpp", "C++", 32, 0, 3, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1982C.cpp", "C++", 36, 0, 3, 3, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1983B.cpp", "C++", 77, 0, 6, 3, 86
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1983C.cpp", "C++", 65, 0, 1, 4, 70
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1984C1.cpp", "C++", 31, 0, 6, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1985E.cpp", "C++", 27, 0, 2, 3, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1986D.cpp", "C++", 45, 0, 10, 3, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1987C.cpp", "C++", 34, 0, 3, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1988C.cpp", "C++", 42, 0, 0, 5, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1989C.cpp", "C++", 53, 0, 1, 3, 57
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1991C.cpp", "C++", 42, 0, 3, 4, 49
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1993C.cpp", "C++", 15, 0, 6, -1, 20
"/home/kapusta/Документы/programming_tasks/acmp/1106.cpp", "C++", 23, 0, 0, 2, 25
"/home/kapusta/Документы/programming_tasks/acmp/1193.cpp", "C++", 13, 0, 0, 2, 15
"/home/kapusta/Документы/programming_tasks/acmp/1593.cpp", "C++", 8, 0, 0, 3, 11
"/home/kapusta/Документы/programming_tasks/acmp/1717.cpp", "C++", 13, 0, 0, 2, 15
"/home/kapusta/Документы/programming_tasks/acmp/1780.cpp", "C++", 41, 0, 6, 4, 51
"/home/kapusta/Документы/programming_tasks/acmp/1780.py", "Python", 0, 29, 5, 8, 42
"/home/kapusta/Документы/programming_tasks/acmp/1946.cpp", "C++", 20, 0, 0, 2, 22
"/home/kapusta/Документы/programming_tasks/acmp/1949.cpp", "C++", 20, 0, 1, 2, 23
"/home/kapusta/Документы/programming_tasks/acmp/1951.cpp", "C++", 35, 0, 2, 2, 39
"/home/kapusta/Документы/programming_tasks/inform/4/a.cpp", "C++", 16, 0, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/inform/4/b.cpp", "C++", 42, 0, 3, 4, 49
"/home/kapusta/Документы/programming_tasks/inform/4/b2.cpp", "C++", 27, 0, 0, 4, 31
"/home/kapusta/Документы/programming_tasks/inform/4/b3.cpp", "C++", 22, 0, 3, 2, 27
"/home/kapusta/Документы/programming_tasks/inform/4/c.cpp", "C++", 17, 0, 0, 2, 19
"/home/kapusta/Документы/programming_tasks/inform/4/d.cpp", "C++", 33, 0, 1, 3, 37
"/home/kapusta/Документы/programming_tasks/inform/4/d2.cpp", "C++", 33, 0, 0, 2, 35
"/home/kapusta/Документы/programming_tasks/inform/4/e.cpp", "C++", 29, 0, 0, 2, 31
"/home/kapusta/Документы/programming_tasks/inform/4/f.cpp", "C++", 46, 0, 2, 4, 52
"/home/kapusta/Документы/programming_tasks/inform/4/h.cpp", "C++", 13, 0, 0, 2, 15
"/home/kapusta/Документы/programming_tasks/inform/4/i.cpp", "C++", 13, 0, 0, 2, 15
"/home/kapusta/Документы/programming_tasks/inform/4/j.cpp", "C++", 57, 0, 0, 4, 61
"/home/kapusta/Документы/programming_tasks/inform/4/nf.cpp", "C++", 17, 0, 0, 2, 19
"/home/kapusta/Документы/programming_tasks/inform/5/b.py", "Python", 0, 5, 0, 1, 6
"/home/kapusta/Документы/programming_tasks/inform/5/d.py", "Python", 0, 2, 0, 2, 4
"/home/kapusta/Документы/programming_tasks/inform/5/f.cpp", "C++", 10, 0, 0, 0, 10
"/home/kapusta/Документы/programming_tasks/inform/5/f.py", "Python", 0, 10, 0, 1, 11
"/home/kapusta/Документы/programming_tasks/inform/5/g.py", "Python", 0, 7, 0, 1, 8
"/home/kapusta/Документы/programming_tasks/inform/5/h.cpp", "C++", 15, 0, 0, 2, 17
"/home/kapusta/Документы/programming_tasks/inform/5/h.py", "Python", 0, 21, 0, 1, 22
"/home/kapusta/Документы/programming_tasks/inform/ol1/a.cpp", "C++", 11, 0, 0, 3, 14
"/home/kapusta/Документы/programming_tasks/inform/ol1/b.cpp", "C++", 25, 0, 0, 2, 27
"/home/kapusta/Документы/programming_tasks/inform/ol1/d.cpp", "C++", 44, 0, 0, 4, 48
"/home/kapusta/Документы/programming_tasks/inform/ol1/e.cpp", "C++", 8, 0, 0, 3, 11
