"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/izumrud/a.cpp", "C++", 11, 0, 1, 12
"/home/kapusta/Документы/programming_tasks/izumrud/b.cpp", "C++", 20, 0, 2, 22
"/home/kapusta/Документы/programming_tasks/izumrud/c.cpp", "C++", 24, 0, 3, 27
"/home/kapusta/Документы/programming_tasks/izumrud/d.cpp", "C++", 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/izumrud/e.cpp", "C++", 34, 2, 3, 39
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/d3.cpp", "C++", 19, 0, 1, 20
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/o.cpp", "C++", 41, 0, 3, 44
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/p.cpp", "C++", 13, 0, 1, 14
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/p2.cpp", "C++", 13, 0, 1, 14
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/p3.cpp", "C++", 26, 0, 2, 28
"Total", "-", 227, 2, 20, 249
