"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/a.cpp", "C++", -30, 0, -1, -31
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/b.cpp", "C++", -17, 0, -5, -22
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/c.cpp", "C++", -41, -13, -4, -58
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/c2.cpp", "C++", -36, -13, -4, -53
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/d.cpp", "C++", -57, -5, -6, -68
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/a.cpp", "C++", 27, 0, 1, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/b.cpp", "C++", 33, 2, 1, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/c.cpp", "C++", 34, 0, 1, 35
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/d.cpp", "C++", 26, 0, 1, 27
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e.cpp", "C++", 27, 3, 1, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e2.cpp", "C++", 37, 4, 1, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e3.cpp", "C++", 36, 1, 2, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/898/f.cpp", "C++", 45, 0, 1, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/917/a.cpp", "C++", 27, 0, 1, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/917/b.cpp", "C++", 27, 2, 2, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/a.cpp", "C++", 19, 0, 1, 20
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/b.cpp", "C++", 54, 0, 2, 56
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/c.cpp", "C++", 24, 0, 3, 27
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/d.cpp", "C++", 45, 0, 1, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/e.cpp", "C++", 41, 0, 2, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/918/e2.cpp", "C++", 10, 0, 2, 12
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/919/a.cpp", "C++", 41, 0, 1, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/919/b.cpp", "C++", 36, 0, 1, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/920/a.cpp", "C++", 21, 0, 1, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/920/b.cpp", "C++", 35, 3, 1, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/920/b2.cpp", "C++", 50, 3, 1, 54
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/920/c.cpp", "C++", 36, 4, 1, 41
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a.cpp", "C++", 23, 5, 1, 29
