"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1660C.cpp", "C++", 34, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1766C.cpp", "C++", 50, 0, 3, 53
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1774C.cpp", "C++", 29, 0, 3, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1879C.cpp", "C++", 30, 0, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1945D.cpp", "C++", 29, 0, 3, 32
"Total", "-", 172, 0, 15, 187
