"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/1037D.cpp", "C++", 68, 0, 4, 72
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/1365D.cpp", "C++", 82, 0, 3, 85
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/1437D.cpp", "C++", 40, 0, 5, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/1702E.cpp", "C++", 75, 0, 4, 79
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/1833E.cpp", "C++", 48, 0, 4, 52
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/370A.cpp", "C++", 26, 0, 2, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/601A.cpp", "C++", 109, 0, 2, 111
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/graph/tren/1A.cpp", "C++", 0, 0, 1, 1
"/home/kapusta/Документы/programming_tasks/acmp/1935.cpp", "C++", 39, 0, 2, 41
"/home/kapusta/Документы/programming_tasks/acmp/1936.cpp", "C++", 36, 0, 2, 38
"/home/kapusta/Документы/programming_tasks/acmp/1937.cpp", "C++", 65, 0, 2, 67
"/home/kapusta/Документы/programming_tasks/acmp/2005.cpp", "C++", 12, 0, 2, 14
"Total", "-", 600, 0, 33, 633
