"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1285B.cpp", "C++", 42, 0, 3, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1343C.cpp", "C++", 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1354B.cpp", "C++", 37, 0, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1360E.cpp", "C++", 27, 0, 3, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1470A.cpp", "C++", 47, 0, 3, 50
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/433B.cpp", "C++", 32, 0, 2, 34
"Total", "-", 220, 0, 17, 237
