"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1991B.cpp", "C++", 33, 2, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992C.cpp", "C++", 23, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992D.cpp", "C++", 29, 8, 4, 41
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1993B.cpp", "C++", 43, 4, 3, 50
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1995B.cpp", "C++", 36, 1, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1996C.cpp", "C++", 35, 4, 3, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997B.cpp", "C++", 29, 1, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997C.cpp", "C++", 47, 0, 4, 51
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999A.cpp", "C++", 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999B.cpp", "C++", 27, 0, 5, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999C.cpp", "C++", 28, 0, 3, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999D.cpp", "C++", 30, 0, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000C.cpp", "C++", 42, 0, 4, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000D.cpp", "C++", 50, 26, 13, 89
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2002B.cpp", "C++", 41, 1, 3, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003C.cpp", "C++", 38, 0, 4, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004B.cpp", "C++", 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004C.cpp", "C++", 36, 3, 4, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2005B.cpp", "C++", 43, 4, 5, 52
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007B.cpp", "C++", 68, 0, 3, 71
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007B_2.cpp", "C++", 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2008D.cpp", "C++", 41, 0, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009C.cpp", "C++", 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009E.cpp", "C++", 14, 3, 0, 17
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2013B.cpp", "C++", 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2014C.cpp", "C++", 56, 4, 6, 66
"/home/kapusta/Документы/programming_tasks/SSY/otbor/a.cpp", "C++", 31, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/inform/3/a.cpp", "C++", 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/inform/3/b.cpp", "C++", 34, 0, 2, 36
"/home/kapusta/Документы/programming_tasks/inform/3/c.cpp", "C++", 41, 0, 2, 43
"/home/kapusta/Документы/programming_tasks/inform/3/d.cpp", "C++", 17, 0, 2, 19
"/home/kapusta/Документы/programming_tasks/inform/3/e.cpp", "C++", 24, 0, 2, 26
"/home/kapusta/Документы/programming_tasks/inform/3/f.cpp", "C++", 15, 0, 2, 17
"/home/kapusta/Документы/programming_tasks/inform/3/g.cpp", "C++", 35, 0, 4, 39
"/home/kapusta/Документы/programming_tasks/inform/3/h.cpp", "C++", 17, 0, 2, 19
"/home/kapusta/Документы/programming_tasks/inform/3/i.cpp", "C++", 17, 0, 2, 19
"/home/kapusta/Документы/programming_tasks/inform/3/j.cpp", "C++", 18, 0, 2, 20
"Total", "-", 1177, 61, 123, 1361
