"filename", "language", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/a.cpp", "C++", 30, 0, 1, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/b.cpp", "C++", 17, 0, 5, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/c.cpp", "C++", 41, 13, 4, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/c2.cpp", "C++", 36, 13, 4, 53
"/home/kapusta/Документы/programming_tasks/CodeForcesER/160/d.cpp", "C++", 57, 5, 6, 68
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/b.cpp", "C++", 41, 0, 1, 42
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/b2.cpp", "C++", 48, 0, 3, 51
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/c.cpp", "C++", 46, 0, 3, 49
"/home/kapusta/Документы/programming_tasks/tinkoff/nums/d.cpp", "C++", 78, 0, 5, 83
"Total", "-", 394, 31, 32, 457
