"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1037C.cpp", "C++", 0, 52, 0, 2, 54
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1178B.cpp", "C++", 0, 18, 0, 2, 20
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1189C.cpp", "C++", 0, 37, 0, 2, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1282B1.cpp", "C++", 0, 41, 4, 3, 48
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1415C.cpp", "C++", 0, 30, 0, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1459B.cpp", "C++", 0, 22, 0, 2, 24
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/1466C.cpp", "C++", 0, 33, 0, 3, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/189A.cpp", "C++", 0, 21, 0, 2, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/534B.cpp", "C++", 0, 20, 0, 2, 22
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/548B.cpp", "C++", 0, 41, 0, 3, 44
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/628B.cpp", "C++", 0, 23, 0, 2, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/665C.cpp", "C++", 0, 18, 0, 2, 20
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/797B.cpp", "C++", 0, 31, 0, 2, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/dp/798B.cpp", "C++", 0, 38, 1, 2, 41
"/home/kapusta/Документы/programming_tasks/inform/dop/1/a.py", "Python", 13, 0, 0, 5, 18
"Total", "-", 13, 425, 5, 37, 480
